medicine_id,generic_name,brand_name,drug_class,dosage_form,strength_mg,common_use,manufacturer,price_inr,requires_prescription
MED00480,Warfarin,Warfarin-GLE,Anticoagulant,Ointment,N/A,Blood clot prevention,Glenmark,2055.43,True
MED00481,Clopidogrel,Clopidogrel DS-SUN,Antiplatelet,Injection,650,Stroke and heart attack prevention,Sun Pharma,2228.94,False
MED00482,Furosemide,Furosemide-Plus-CIP,Diuretic,Ointment,N/A,Fluid retention and heart failure,Cipla,250.15,False
MED00483,Hydrochlorothiazide,Hydrochlorothiazide-Forte-DR.,Diuretic,Injection,250,High blood pressure,Dr. Reddy's,493.88,False
MED00484,Spironolactone,Spironolactone XR-LUP,Diuretic,Injection,1000,Heart failure and fluid retention,Lupin,419.7,False
MED00485,Diclofenac,Diclofenac-AUR,NSAID,Powder,1000,Pain and inflammation,Aurobindo Pharma,999.04,True
MED00486,Tramadol,Tramadol-ZYD,Opioid Analgesic,Inhaler,N/A,Moderate to severe pain,Zydus Cadila,700.27,True
MED00487,Morphine,Morphine-Forte-MAN,Opioid Analgesic,Ointment,N/A,Severe pain,Mankind Pharma,2062.41,True
MED00488,Methotrexate,Methotrexate-TOR,Antimetabolite/DMARD,Ointment,N/A,Rheumatoid arthritis and cancer,Torrent Pharma,2039.06,True
MED00489,Hydroxychloroquine,Hydroxychloroquine XR-ALK,Antimalarial/DMARD,Syrup,50,Lupus and rheumatoid arthritis,Alkem Labs,2472.02,True
MED00490,Allopurinol,Allopurinol-Forte-GLE,Antigout,Powder,125,Gout management,Glenmark,2055.79,True
MED00491,Calcium Carbonate,Calcium DS-SUN,Mineral Supplement,Tablet,25,Calcium deficiency,Sun Pharma,627.86,True
MED00492,Ferrous Sulfate,Ferrous-Plus-CIP,Iron Supplement,Inhaler,N/A,Iron deficiency anemia,Cipla,2035.96,True
MED00493,Folic Acid,Folic XR-DR.,Vitamin Supplement,Cream,N/A,Anemia and pregnancy,Dr. Reddy's,489.65,True
MED00494,Vitamin D3,Vitamin DS-LUP,Vitamin Supplement,Cream,N/A,Vitamin D deficiency,Lupin,1806.01,True
MED00495,Vitamin B12,Vitamin-Plus-AUR,Vitamin Supplement,Cream,N/A,B12 deficiency,Aurobindo Pharma,1023.98,True
MED00496,Multivitamin,Multivitamin DS-ZYD,Vitamin Supplement,Cream,N/A,General nutritional support,Zydus Cadila,711.87,False
MED00497,Clotrimazole,Clotrimazole-MAN,Antifungal (Topical),Inhaler,N/A,Skin fungal infections,Mankind Pharma,1332.93,False
MED00498,Hydrocortisone Cream,Hydrocortisone-Forte-TOR,Corticosteroid (Topical),Syrup,1000,Skin inflammation,Torrent Pharma,969.71,False
MED00499,Benzoyl Peroxide,Benzoyl-Forte-ALK,Topical Antiacne,Capsule,25,Acne treatment,Alkem Labs,2334.28,False
MED00500,Salicylic Acid,Salicylic-Forte-GLE,Keratolytic,Powder,1000,Acne and skin conditions,Glenmark,2307.83,False
MED00501,Latanoprost,Latanoprost-SUN,Antiglaucoma,Capsule,10,Glaucoma,Sun Pharma,2270.49,True
MED00502,Timolol Eye Drops,Timolol-Forte-CIP,Antiglaucoma,Ointment,N/A,Glaucoma,Cipla,2011.04,True
MED00503,Artificial Tears,Artificial-DR.,Ocular Lubricant,Tablet,1000,Dry eyes,Dr. Reddy's,1245.28,True
MED00504,Chlorpheniramine,Chlorpheniramine XR-LUP,Antihistamine,Syrup,500,Allergy and cold symptoms,Lupin,2216.86,True
MED00505,Dextromethorphan,Dextromethorphan-Plus-AUR,Antitussive,Syrup,50,Cough suppression,Aurobindo Pharma,1802.18,False
MED00506,Guaifenesin,Guaifenesin-ZYD,Expectorant,Ointment,N/A,Chest congestion,Zydus Cadila,875.13,False
MED00507,Pantoprazole,Pantoprazole-Plus-MAN,Proton Pump Inhibitor,Ointment,N/A,Acid reflux and ulcers,Mankind Pharma,1441.03,False
MED00508,Rabeprazole,Rabeprazole-Plus-TOR,Proton Pump Inhibitor,Injection,125,Acid reflux,Torrent Pharma,1584.48,True
MED00509,Simvastatin,Simvastatin-ALK,Statin,Injection,250,Cholesterol management,Alkem Labs,1662.26,True
MED00510,Rosuvastatin,Rosuvastatin-GLE,Statin,Ointment,N/A,Cholesterol management,Glenmark,2222.62,True
MED00511,Enalapril,Enalapril-SUN,Antihypertensive (ACE Inhibitor),Syrup,10,High blood pressure,Sun Pharma,1527.46,True
MED00512,Ramipril,Ramipril-CIP,Antihypertensive (ACE Inhibitor),Capsule,50,High blood pressure and heart failure,Cipla,1996.28,False
MED00513,Digoxin,Digoxin-DR.,Cardiac Glycoside,Ointment,N/A,Heart failure and arrhythmia,Dr. Reddy's,1260.16,True
MED00514,Amiodarone,Amiodarone-Plus-LUP,Antiarrhythmic,Eye Drops,N/A,Irregular heartbeat,Lupin,1301.23,False
MED00515,Heparin,Heparin-AUR,Anticoagulant,Cream,N/A,Blood clot prevention (acute),Aurobindo Pharma,2024.65,True
MED00516,Insulin Regular,Insulin DS-ZYD,Antidiabetic (Insulin),Injection,125,Diabetes mellitus,Zydus Cadila,2093.55,True
MED00517,Glimepiride,Glimepiride-Forte-MAN,Antidiabetic (Sulfonylurea),Syrup,1000,Type 2 diabetes,Mankind Pharma,943.2,True
MED00518,Pioglitazone,Pioglitazone-Plus-TOR,Antidiabetic (Thiazolidinedione),Injection,50,Type 2 diabetes,Torrent Pharma,796.07,False
MED00519,Montelukast,Montelukast DS-ALK,Leukotriene Antagonist,Ointment,N/A,Asthma and allergies,Alkem Labs,2460.98,False
MED00520,Budesonide Inhaler,Budesonide DS-GLE,Corticosteroid (Inhaled),Capsule,1000,Asthma and COPD,Glenmark,746.51,True
MED00521,Ipratropium Bromide,Ipratropium-SUN,Bronchodilator (Anticholinergic),Inhaler,N/A,COPD,Sun Pharma,1752.36,True
MED00522,Isoniazid,Isoniazid-CIP,Antitubercular,Powder,10,Tuberculosis,Cipla,390.63,False
MED00523,Rifampicin,Rifampicin-DR.,Antitubercular,Ointment,N/A,Tuberculosis,Dr. Reddy's,459.32,True
MED00524,Ethambutol,Ethambutol-LUP,Antitubercular,Powder,100,Tuberculosis,Lupin,803.12,True
MED00525,Pyrazinamide,Pyrazinamide-AUR,Antitubercular,Syrup,50,Tuberculosis,Aurobindo Pharma,1016.19,True
MED00526,Zidovudine,Zidovudine XR-ZYD,Antiretroviral,Injection,25,HIV management,Zydus Cadila,1644.83,True
MED00527,Tenofovir,Tenofovir DS-MAN,Antiretroviral,Cream,N/A,HIV and Hepatitis B,Mankind Pharma,956.63,True
MED00528,Lamivudine,Lamivudine-Forte-TOR,Antiretroviral,Inhaler,N/A,HIV management,Torrent Pharma,835.13,True
MED00529,Paracetamol,Paracetamol-Forte-ALK,Analgesic/Antipyretic,Ointment,N/A,Fever and pain relief,Alkem Labs,2022.56,True
MED00530,Ibuprofen,Ibuprofen-Forte-GLE,NSAID,Cream,N/A,Pain and inflammation relief,Glenmark,744.74,False
MED00531,Aspirin,Aspirin DS-SUN,NSAID/Antiplatelet,Inhaler,N/A,Pain relief and blood thinning,Sun Pharma,1082.91,False
MED00532,Amoxicillin,Amoxicillin-CIP,Antibiotic (Penicillin),Eye Drops,N/A,Bacterial infections,Cipla,757.33,True
MED00533,Azithromycin,Azithromycin-DR.,Antibiotic (Macrolide),Tablet,1000,Respiratory and skin infections,Dr. Reddy's,2444.65,True
MED00534,Ciprofloxacin,Ciprofloxacin-Forte-LUP,Antibiotic (Fluoroquinolone),Eye Drops,N/A,Urinary and GI infections,Lupin,1735.73,True
MED00535,Metformin,Metformin-AUR,Antidiabetic (Biguanide),Tablet,100,Type 2 diabetes management,Aurobindo Pharma,1712.08,False
MED00536,Insulin Glargine,Insulin-Plus-ZYD,Antidiabetic (Insulin),Tablet,250,Diabetes mellitus,Zydus Cadila,300.69,True
MED00537,Amlodipine,Amlodipine-MAN,Antihypertensive (CCB),Eye Drops,N/A,High blood pressure,Mankind Pharma,883.73,True
MED00538,Losartan,Losartan-TOR,Antihypertensive (ARB),Capsule,500,High blood pressure,Torrent Pharma,1804.59,True
MED00539,Atenolol,Atenolol-ALK,Antihypertensive (Beta-blocker),Injection,650,High blood pressure and arrhythmia,Alkem Labs,1795.17,True
MED00540,Atorvastatin,Atorvastatin XR-GLE,Statin,Inhaler,N/A,Cholesterol management,Glenmark,267.11,True
MED00541,Omeprazole,Omeprazole DS-SUN,Proton Pump Inhibitor,Eye Drops,N/A,Acid reflux and ulcers,Sun Pharma,82.47,True
MED00542,Ranitidine,Ranitidine XR-CIP,H2 Blocker,Ointment,N/A,Acid reflux,Cipla,1343.59,False
MED00543,Cetirizine,Cetirizine DS-DR.,Antihistamine,Ointment,N/A,Allergy relief,Dr. Reddy's,1708.63,True
MED00544,Loratadine,Loratadine-LUP,Antihistamine,Eye Drops,N/A,Allergy relief,Lupin,1877.74,True
MED00545,Salbutamol,Salbutamol-Forte-AUR,Bronchodilator,Ointment,N/A,Asthma and COPD,Aurobindo Pharma,2100.3,True
MED00546,Levothyroxine,Levothyroxine DS-ZYD,Thyroid Hormone,Cream,N/A,Hypothyroidism,Zydus Cadila,1206.06,True
MED00547,Carbimazole,Carbimazole-MAN,Antithyroid,Tablet,650,Hyperthyroidism,Mankind Pharma,2498.3,True
MED00548,Prednisolone,Prednisolone-TOR,Corticosteroid,Tablet,125,Inflammation and autoimmune conditions,Torrent Pharma,992.12,True
MED00549,Metronidazole,Metronidazole DS-ALK,Antibiotic/Antiprotozoal,Eye Drops,N/A,Anaerobic and parasitic infections,Alkem Labs,1567.94,False
MED00550,Doxycycline,Doxycycline XR-GLE,Antibiotic (Tetracycline),Eye Drops,N/A,Bacterial infections,Glenmark,1399.32,True
MED00551,Fluconazole,Fluconazole XR-SUN,Antifungal,Tablet,1000,Fungal infections,Sun Pharma,691.63,True
MED00552,Acyclovir,Acyclovir-Forte-CIP,Antiviral,Cream,N/A,Herpes virus infections,Cipla,2019.98,False
MED00553,Oseltamivir,Oseltamivir-Forte-DR.,Antiviral,Eye Drops,N/A,Influenza,Dr. Reddy's,2160.34,True
MED00554,Artemether-Lumefantrine,Artemether-Lumefantrine-LUP,Antimalarial,Cream,N/A,Malaria treatment,Lupin,1726.51,False
MED00555,Chloroquine,Chloroquine-AUR,Antimalarial,Tablet,10,Malaria prevention and treatment,Aurobindo Pharma,1630.5,True
MED00556,Ondansetron,Ondansetron-Plus-ZYD,Antiemetic,Capsule,650,Nausea and vomiting,Zydus Cadila,2447.65,True
MED00557,Domperidone,Domperidone-MAN,Antiemetic/Prokinetic,Powder,650,Nausea and GI motility,Mankind Pharma,660.1,True
MED00558,Loperamide,Loperamide-Plus-TOR,Antidiarrheal,Capsule,5,Diarrhea,Torrent Pharma,739.12,False
MED00559,Oral Rehydration Salts,Oral-Forte-ALK,Electrolyte Replacement,Powder,50,Dehydration,Alkem Labs,2315.77,False
MED00560,Diazepam,Diazepam-Plus-GLE,Benzodiazepine,Inhaler,N/A,Anxiety and seizures,Glenmark,1936.45,False
MED00561,Sertraline,Sertraline DS-SUN,SSRI Antidepressant,Inhaler,N/A,Depression and anxiety,Sun Pharma,778.28,True
MED00562,Fluoxetine,Fluoxetine-CIP,SSRI Antidepressant,Capsule,1000,Depression,Cipla,866.19,True
MED00563,Escitalopram,Escitalopram-DR.,SSRI Antidepressant,Eye Drops,N/A,Anxiety and depression,Dr. Reddy's,516.94,True
MED00564,Risperidone,Risperidone XR-LUP,Antipsychotic,Cream,N/A,Schizophrenia and bipolar disorder,Lupin,650.88,True
MED00565,Sodium Valproate,Sodium XR-AUR,Anticonvulsant,Tablet,50,Epilepsy and bipolar disorder,Aurobindo Pharma,1299.03,True
MED00566,Levetiracetam,Levetiracetam-Plus-ZYD,Anticonvulsant,Capsule,25,Epilepsy,Zydus Cadila,2495.36,True
MED00567,Gabapentin,Gabapentin DS-MAN,Anticonvulsant/Analgesic,Powder,25,Nerve pain and seizures,Mankind Pharma,2198.26,False
MED00568,Warfarin,Warfarin DS-TOR,Anticoagulant,Capsule,25,Blood clot prevention,Torrent Pharma,939.93,True
MED00569,Clopidogrel,Clopidogrel DS-ALK,Antiplatelet,Cream,N/A,Stroke and heart attack prevention,Alkem Labs,415.07,True
MED00570,Furosemide,Furosemide-GLE,Diuretic,Eye Drops,N/A,Fluid retention and heart failure,Glenmark,660.85,False
MED00571,Hydrochlorothiazide,Hydrochlorothiazide-SUN,Diuretic,Syrup,650,High blood pressure,Sun Pharma,442.78,True
MED00572,Spironolactone,Spironolactone DS-CIP,Diuretic,Ointment,N/A,Heart failure and fluid retention,Cipla,334.19,True
MED00573,Diclofenac,Diclofenac DS-DR.,NSAID,Inhaler,N/A,Pain and inflammation,Dr. Reddy's,662.79,True
MED00574,Tramadol,Tramadol-LUP,Opioid Analgesic,Syrup,250,Moderate to severe pain,Lupin,1139.93,True
MED00575,Morphine,Morphine-Forte-AUR,Opioid Analgesic,Tablet,1000,Severe pain,Aurobindo Pharma,471.6,False
MED00576,Methotrexate,Methotrexate DS-ZYD,Antimetabolite/DMARD,Injection,10,Rheumatoid arthritis and cancer,Zydus Cadila,1053.07,True
MED00577,Hydroxychloroquine,Hydroxychloroquine XR-MAN,Antimalarial/DMARD,Eye Drops,N/A,Lupus and rheumatoid arthritis,Mankind Pharma,849.18,True
MED00578,Allopurinol,Allopurinol-Forte-TOR,Antigout,Powder,1000,Gout management,Torrent Pharma,1227.24,True
MED00579,Calcium Carbonate,Calcium XR-ALK,Mineral Supplement,Ointment,N/A,Calcium deficiency,Alkem Labs,1555.12,True
MED00580,Ferrous Sulfate,Ferrous-Forte-GLE,Iron Supplement,Cream,N/A,Iron deficiency anemia,Glenmark,12.25,False
MED00581,Folic Acid,Folic DS-SUN,Vitamin Supplement,Syrup,10,Anemia and pregnancy,Sun Pharma,1321.53,True
MED00582,Vitamin D3,Vitamin-CIP,Vitamin Supplement,Powder,1000,Vitamin D deficiency,Cipla,2129.93,True
MED00583,Vitamin B12,Vitamin DS-DR.,Vitamin Supplement,Cream,N/A,B12 deficiency,Dr. Reddy's,2059.46,True
MED00584,Multivitamin,Multivitamin DS-LUP,Vitamin Supplement,Powder,650,General nutritional support,Lupin,2282.61,False
MED00585,Clotrimazole,Clotrimazole-AUR,Antifungal (Topical),Ointment,N/A,Skin fungal infections,Aurobindo Pharma,2277.21,False
MED00586,Hydrocortisone Cream,Hydrocortisone-ZYD,Corticosteroid (Topical),Ointment,N/A,Skin inflammation,Zydus Cadila,701.94,True
MED00587,Benzoyl Peroxide,Benzoyl-Plus-MAN,Topical Antiacne,Powder,250,Acne treatment,Mankind Pharma,106.75,True
MED00588,Salicylic Acid,Salicylic DS-TOR,Keratolytic,Cream,N/A,Acne and skin conditions,Torrent Pharma,2456.38,True
MED00589,Latanoprost,Latanoprost DS-ALK,Antiglaucoma,Injection,100,Glaucoma,Alkem Labs,1973.73,True
MED00590,Timolol Eye Drops,Timolol-GLE,Antiglaucoma,Powder,650,Glaucoma,Glenmark,168.99,True
MED00591,Artificial Tears,Artificial-SUN,Ocular Lubricant,Powder,5,Dry eyes,Sun Pharma,1580.98,True
MED00592,Chlorpheniramine,Chlorpheniramine-Plus-CIP,Antihistamine,Capsule,250,Allergy and cold symptoms,Cipla,2089.98,False
MED00593,Dextromethorphan,Dextromethorphan-Plus-DR.,Antitussive,Ointment,N/A,Cough suppression,Dr. Reddy's,1302.84,True
MED00594,Guaifenesin,Guaifenesin-LUP,Expectorant,Cream,N/A,Chest congestion,Lupin,328.04,True
MED00595,Pantoprazole,Pantoprazole-AUR,Proton Pump Inhibitor,Inhaler,N/A,Acid reflux and ulcers,Aurobindo Pharma,198.54,False
MED00596,Rabeprazole,Rabeprazole-ZYD,Proton Pump Inhibitor,Capsule,5,Acid reflux,Zydus Cadila,2388.9,False
MED00597,Simvastatin,Simvastatin-Forte-MAN,Statin,Powder,5,Cholesterol management,Mankind Pharma,1754.79,True
MED00598,Rosuvastatin,Rosuvastatin DS-TOR,Statin,Syrup,650,Cholesterol management,Torrent Pharma,1787.25,True
MED00599,Enalapril,Enalapril-ALK,Antihypertensive (ACE Inhibitor),Cream,N/A,High blood pressure,Alkem Labs,141.71,True
MED00600,Ramipril,Ramipril-GLE,Antihypertensive (ACE Inhibitor),Injection,5,High blood pressure and heart failure,Glenmark,1869.19,True
MED00601,Digoxin,Digoxin XR-SUN,Cardiac Glycoside,Powder,50,Heart failure and arrhythmia,Sun Pharma,454.44,False
MED00602,Amiodarone,Amiodarone-Plus-CIP,Antiarrhythmic,Powder,1000,Irregular heartbeat,Cipla,965.42,False
MED00603,Heparin,Heparin XR-DR.,Anticoagulant,Capsule,50,Blood clot prevention (acute),Dr. Reddy's,519.07,True
MED00604,Insulin Regular,Insulin-LUP,Antidiabetic (Insulin),Capsule,5,Diabetes mellitus,Lupin,2267.63,True
MED00605,Glimepiride,Glimepiride-AUR,Antidiabetic (Sulfonylurea),Injection,500,Type 2 diabetes,Aurobindo Pharma,2335.68,True
MED00606,Pioglitazone,Pioglitazone XR-ZYD,Antidiabetic (Thiazolidinedione),Cream,N/A,Type 2 diabetes,Zydus Cadila,1228.75,True
MED00607,Montelukast,Montelukast-Forte-MAN,Leukotriene Antagonist,Cream,N/A,Asthma and allergies,Mankind Pharma,1856.94,True
MED00608,Budesonide Inhaler,Budesonide XR-TOR,Corticosteroid (Inhaled),Syrup,250,Asthma and COPD,Torrent Pharma,294.74,True
MED00609,Ipratropium Bromide,Ipratropium DS-ALK,Bronchodilator (Anticholinergic),Capsule,125,COPD,Alkem Labs,2384.62,True
MED00610,Isoniazid,Isoniazid-Forte-GLE,Antitubercular,Injection,125,Tuberculosis,Glenmark,1933.9,False
MED00611,Rifampicin,Rifampicin-SUN,Antitubercular,Capsule,10,Tuberculosis,Sun Pharma,2433.38,True
MED00612,Ethambutol,Ethambutol-Plus-CIP,Antitubercular,Inhaler,N/A,Tuberculosis,Cipla,906.85,True
MED00613,Pyrazinamide,Pyrazinamide XR-DR.,Antitubercular,Ointment,N/A,Tuberculosis,Dr. Reddy's,1997.44,True
MED00614,Zidovudine,Zidovudine-LUP,Antiretroviral,Powder,125,HIV management,Lupin,1712.11,False
MED00615,Tenofovir,Tenofovir DS-AUR,Antiretroviral,Cream,N/A,HIV and Hepatitis B,Aurobindo Pharma,1874.48,True
MED00616,Lamivudine,Lamivudine DS-ZYD,Antiretroviral,Inhaler,N/A,HIV management,Zydus Cadila,2085.89,True
MED00617,Paracetamol,Paracetamol-MAN,Analgesic/Antipyretic,Cream,N/A,Fever and pain relief,Mankind Pharma,1425.13,True
MED00618,Ibuprofen,Ibuprofen DS-TOR,NSAID,Inhaler,N/A,Pain and inflammation relief,Torrent Pharma,544.3,True
MED00619,Aspirin,Aspirin-ALK,NSAID/Antiplatelet,Ointment,N/A,Pain relief and blood thinning,Alkem Labs,2053.38,True
MED00620,Amoxicillin,Amoxicillin XR-GLE,Antibiotic (Penicillin),Injection,650,Bacterial infections,Glenmark,1881.98,True
MED00621,Azithromycin,Azithromycin XR-SUN,Antibiotic (Macrolide),Cream,N/A,Respiratory and skin infections,Sun Pharma,813.38,True
MED00622,Ciprofloxacin,Ciprofloxacin-Plus-CIP,Antibiotic (Fluoroquinolone),Cream,N/A,Urinary and GI infections,Cipla,2059.64,True
MED00623,Metformin,Metformin DS-DR.,Antidiabetic (Biguanide),Eye Drops,N/A,Type 2 diabetes management,Dr. Reddy's,743.97,True
MED00624,Insulin Glargine,Insulin-Forte-LUP,Antidiabetic (Insulin),Cream,N/A,Diabetes mellitus,Lupin,942.85,True
MED00625,Amlodipine,Amlodipine-Forte-AUR,Antihypertensive (CCB),Cream,N/A,High blood pressure,Aurobindo Pharma,1385.73,True
MED00626,Losartan,Losartan DS-ZYD,Antihypertensive (ARB),Syrup,100,High blood pressure,Zydus Cadila,1554.09,True
MED00627,Atenolol,Atenolol-MAN,Antihypertensive (Beta-blocker),Inhaler,N/A,High blood pressure and arrhythmia,Mankind Pharma,623.81,True
MED00628,Atorvastatin,Atorvastatin DS-TOR,Statin,Ointment,N/A,Cholesterol management,Torrent Pharma,560.72,True
MED00629,Omeprazole,Omeprazole-ALK,Proton Pump Inhibitor,Inhaler,N/A,Acid reflux and ulcers,Alkem Labs,903.95,True
MED00630,Ranitidine,Ranitidine-Plus-GLE,H2 Blocker,Powder,250,Acid reflux,Glenmark,936.75,True
MED00631,Cetirizine,Cetirizine-SUN,Antihistamine,Capsule,1000,Allergy relief,Sun Pharma,1792.41,True
MED00632,Loratadine,Loratadine XR-CIP,Antihistamine,Syrup,250,Allergy relief,Cipla,723.1,False
MED00633,Salbutamol,Salbutamol-Forte-DR.,Bronchodilator,Ointment,N/A,Asthma and COPD,Dr. Reddy's,1852.29,True
MED00634,Levothyroxine,Levothyroxine DS-LUP,Thyroid Hormone,Inhaler,N/A,Hypothyroidism,Lupin,1127.06,True
MED00635,Carbimazole,Carbimazole-AUR,Antithyroid,Syrup,250,Hyperthyroidism,Aurobindo Pharma,827.4,True
MED00636,Prednisolone,Prednisolone-Forte-ZYD,Corticosteroid,Injection,650,Inflammation and autoimmune conditions,Zydus Cadila,2246.56,False
MED00637,Metronidazole,Metronidazole-Forte-MAN,Antibiotic/Antiprotozoal,Injection,250,Anaerobic and parasitic infections,Mankind Pharma,700.51,False
MED00638,Doxycycline,Doxycycline-TOR,Antibiotic (Tetracycline),Eye Drops,N/A,Bacterial infections,Torrent Pharma,1499.85,True
MED00639,Fluconazole,Fluconazole XR-ALK,Antifungal,Capsule,50,Fungal infections,Alkem Labs,1502.78,False
MED00640,Acyclovir,Acyclovir-Forte-GLE,Antiviral,Injection,125,Herpes virus infections,Glenmark,1019.19,True
MED00641,Oseltamivir,Oseltamivir-SUN,Antiviral,Injection,10,Influenza,Sun Pharma,725.83,True
MED00642,Artemether-Lumefantrine,Artemether-Lumefantrine-CIP,Antimalarial,Tablet,250,Malaria treatment,Cipla,1846.46,True
MED00643,Chloroquine,Chloroquine DS-DR.,Antimalarial,Syrup,1000,Malaria prevention and treatment,Dr. Reddy's,1758.65,True
MED00644,Ondansetron,Ondansetron-Plus-LUP,Antiemetic,Cream,N/A,Nausea and vomiting,Lupin,54.65,False
MED00645,Domperidone,Domperidone XR-AUR,Antiemetic/Prokinetic,Ointment,N/A,Nausea and GI motility,Aurobindo Pharma,2274.88,False
MED00646,Loperamide,Loperamide DS-ZYD,Antidiarrheal,Eye Drops,N/A,Diarrhea,Zydus Cadila,303.22,True
MED00647,Oral Rehydration Salts,Oral-MAN,Electrolyte Replacement,Ointment,N/A,Dehydration,Mankind Pharma,2021.78,True
MED00648,Diazepam,Diazepam-Plus-TOR,Benzodiazepine,Tablet,1000,Anxiety and seizures,Torrent Pharma,928.87,True
MED00649,Sertraline,Sertraline-Plus-ALK,SSRI Antidepressant,Syrup,125,Depression and anxiety,Alkem Labs,1629.35,True
MED00650,Fluoxetine,Fluoxetine-Forte-GLE,SSRI Antidepressant,Tablet,250,Depression,Glenmark,399.62,True
MED00651,Escitalopram,Escitalopram-Plus-SUN,SSRI Antidepressant,Ointment,N/A,Anxiety and depression,Sun Pharma,991.44,True
MED00652,Risperidone,Risperidone DS-CIP,Antipsychotic,Ointment,N/A,Schizophrenia and bipolar disorder,Cipla,1923.29,True
MED00653,Sodium Valproate,Sodium-Forte-DR.,Anticonvulsant,Ointment,N/A,Epilepsy and bipolar disorder,Dr. Reddy's,79.16,True
MED00654,Levetiracetam,Levetiracetam-LUP,Anticonvulsant,Syrup,250,Epilepsy,Lupin,817.48,False
MED00655,Gabapentin,Gabapentin-AUR,Anticonvulsant/Analgesic,Tablet,25,Nerve pain and seizures,Aurobindo Pharma,1331.94,True
MED00656,Warfarin,Warfarin XR-ZYD,Anticoagulant,Injection,100,Blood clot prevention,Zydus Cadila,384.64,True
MED00657,Clopidogrel,Clopidogrel XR-MAN,Antiplatelet,Ointment,N/A,Stroke and heart attack prevention,Mankind Pharma,280.3,True
MED00658,Furosemide,Furosemide-Forte-TOR,Diuretic,Eye Drops,N/A,Fluid retention and heart failure,Torrent Pharma,674.79,True
MED00659,Hydrochlorothiazide,Hydrochlorothiazide XR-ALK,Diuretic,Powder,500,High blood pressure,Alkem Labs,1283.01,False
MED00660,Spironolactone,Spironolactone-GLE,Diuretic,Injection,50,Heart failure and fluid retention,Glenmark,1321.98,True
MED00661,Diclofenac,Diclofenac DS-SUN,NSAID,Injection,250,Pain and inflammation,Sun Pharma,1760.95,True
MED00662,Tramadol,Tramadol XR-CIP,Opioid Analgesic,Cream,N/A,Moderate to severe pain,Cipla,1364.94,True
MED00663,Morphine,Morphine DS-DR.,Opioid Analgesic,Injection,25,Severe pain,Dr. Reddy's,793.1,True
MED00664,Methotrexate,Methotrexate XR-LUP,Antimetabolite/DMARD,Syrup,500,Rheumatoid arthritis and cancer,Lupin,721.57,True
MED00665,Hydroxychloroquine,Hydroxychloroquine-Plus-AUR,Antimalarial/DMARD,Ointment,N/A,Lupus and rheumatoid arthritis,Aurobindo Pharma,1451.19,True
MED00666,Allopurinol,Allopurinol XR-ZYD,Antigout,Syrup,1000,Gout management,Zydus Cadila,1998.74,True
MED00667,Calcium Carbonate,Calcium-MAN,Mineral Supplement,Tablet,1000,Calcium deficiency,Mankind Pharma,1093.08,False
MED00668,Ferrous Sulfate,Ferrous XR-TOR,Iron Supplement,Eye Drops,N/A,Iron deficiency anemia,Torrent Pharma,1205.16,True
MED00669,Folic Acid,Folic XR-ALK,Vitamin Supplement,Eye Drops,N/A,Anemia and pregnancy,Alkem Labs,1098.7,True
MED00670,Vitamin D3,Vitamin XR-GLE,Vitamin Supplement,Powder,5,Vitamin D deficiency,Glenmark,560.34,True
MED00671,Vitamin B12,Vitamin-Plus-SUN,Vitamin Supplement,Tablet,50,B12 deficiency,Sun Pharma,1688.15,False
MED00672,Multivitamin,Multivitamin DS-CIP,Vitamin Supplement,Syrup,10,General nutritional support,Cipla,1995.1,True
MED00673,Clotrimazole,Clotrimazole-DR.,Antifungal (Topical),Syrup,650,Skin fungal infections,Dr. Reddy's,541.81,True
MED00674,Hydrocortisone Cream,Hydrocortisone-Forte-LUP,Corticosteroid (Topical),Cream,N/A,Skin inflammation,Lupin,2025.09,True
MED00675,Benzoyl Peroxide,Benzoyl XR-AUR,Topical Antiacne,Powder,50,Acne treatment,Aurobindo Pharma,1282.99,False
MED00676,Salicylic Acid,Salicylic-ZYD,Keratolytic,Eye Drops,N/A,Acne and skin conditions,Zydus Cadila,221.73,True
MED00677,Latanoprost,Latanoprost-Forte-MAN,Antiglaucoma,Cream,N/A,Glaucoma,Mankind Pharma,1588.78,True
MED00678,Timolol Eye Drops,Timolol-Forte-TOR,Antiglaucoma,Powder,1000,Glaucoma,Torrent Pharma,201.48,False
MED00679,Artificial Tears,Artificial-Forte-ALK,Ocular Lubricant,Cream,N/A,Dry eyes,Alkem Labs,1216.87,True
MED00680,Chlorpheniramine,Chlorpheniramine DS-GLE,Antihistamine,Capsule,650,Allergy and cold symptoms,Glenmark,2147.66,True
MED00681,Dextromethorphan,Dextromethorphan-Plus-SUN,Antitussive,Capsule,25,Cough suppression,Sun Pharma,2399.02,True
MED00682,Guaifenesin,Guaifenesin-CIP,Expectorant,Injection,650,Chest congestion,Cipla,204.27,True
MED00683,Pantoprazole,Pantoprazole-Plus-DR.,Proton Pump Inhibitor,Inhaler,N/A,Acid reflux and ulcers,Dr. Reddy's,1764.71,True
MED00684,Rabeprazole,Rabeprazole DS-LUP,Proton Pump Inhibitor,Injection,1000,Acid reflux,Lupin,1193.26,False
MED00685,Simvastatin,Simvastatin DS-AUR,Statin,Powder,125,Cholesterol management,Aurobindo Pharma,1866.82,False
