symptom_id,symptom_name,body_location,severity_level,description
SYM00307,Mild Shortness of Breath (Abdomen),Abdomen,Mild,Mild shortness of breath localized to the abdomen.
SYM00308,Severe Hair Loss (Neck),Neck,Severe,Severe hair loss localized to the neck.
SYM00309,Severe Hoarseness (Joints),Joints,Severe,Severe hoarseness localized to the joints.
SYM00310,Moderate Uncontrolled Movements (Chest),Chest,Moderate,Moderate uncontrolled movements localized to the chest.
SYM00311,Mild Brittle Nails (Left Arm),Left Arm,Mild,Mild brittle nails localized to the left arm.
SYM00312,Moderate Slow Wound Healing (Left Leg),Left Leg,Moderate,Moderate slow wound healing localized to the left leg.
SYM00313,Moderate Cold Hands And Feet (Eyes),Eyes,Moderate,Moderate cold hands and feet localized to the eyes.
SYM00314,Severe Slow Heartbeat (Ears),Ears,Severe,Severe slow heartbeat localized to the ears.
SYM00315,Severe Fatigue (Head),Head,Severe,Severe fatigue localized to the head.
SYM00316,Mild Slurred Speech (Ears),Ears,Mild,Mild slurred speech localized to the ears.
SYM00317,Moderate Persistent Cough (Throat),Throat,Moderate,Moderate persistent cough localized to the throat.
SYM00318,Mild Headache (Left Leg),Left Leg,Mild,Mild headache localized to the left leg.
SYM00319,Severe Rapid Breathing (Upper Back),Upper Back,Severe,Severe rapid breathing localized to the upper back.
SYM00320,Mild Rapid Breathing (Ears),Ears,Mild,Mild rapid breathing localized to the ears.
SYM00321,Severe Frequent Urination (Skin),Skin,Severe,Severe frequent urination localized to the skin.
SYM00322,Severe Tingling (Throat),Throat,Severe,Severe tingling localized to the throat.
SYM00323,Mild Red Eyes (Lower Back),Lower Back,Mild,Mild red eyes localized to the lower back.
SYM00324,Mild Sensitivity To Light (Lower Back),Lower Back,Mild,Mild sensitivity to light localized to the lower back.
SYM00325,Severe Chest Tightness (Throat),Throat,Severe,Severe chest tightness localized to the throat.
SYM00326,Severe Rash (Head),Head,Severe,Severe rash localized to the head.
SYM00327,Moderate Excessive Hunger (Joints),Joints,Moderate,Moderate excessive hunger localized to the joints.
SYM00328,Severe Jaundice (Chest),Chest,Severe,Severe jaundice localized to the chest.
SYM00329,Severe Cough (Left Leg),Left Leg,Severe,Severe cough localized to the left leg.
SYM00330,Moderate Gas (Head),Head,Moderate,Moderate gas localized to the head.
SYM00331,Moderate Cough (Upper Back),Upper Back,Moderate,Moderate cough localized to the upper back.
SYM00332,Moderate Wheezing (Throat),Throat,Moderate,Moderate wheezing localized to the throat.
SYM00333,Mild Stiff Joints (Ears),Ears,Mild,Mild stiff joints localized to the ears.
SYM00334,Severe Nasal Congestion (Eyes),Eyes,Severe,Severe nasal congestion localized to the eyes.
SYM00335,Moderate Irregular Periods (Chest),Chest,Moderate,Moderate irregular periods localized to the chest.
SYM00336,Mild Fever (Skin),Skin,Mild,Mild fever localized to the skin.
SYM00337,Mild Irregular Periods (Left Arm),Left Arm,Mild,Mild irregular periods localized to the left arm.
SYM00338,Severe Skin Discoloration (Left Leg),Left Leg,Severe,Severe skin discoloration localized to the left leg.
SYM00339,Moderate Cold Hands And Feet (Throat),Throat,Moderate,Moderate cold hands and feet localized to the throat.
SYM00340,Moderate Shortness of Breath (Skin),Skin,Moderate,Moderate shortness of breath localized to the skin.
SYM00341,Severe Clubbing Of Fingers (Neck),Neck,Severe,Severe clubbing of fingers localized to the neck.
SYM00342,Moderate Chest Pain (Joints),Joints,Moderate,Moderate chest pain localized to the joints.
SYM00343,Severe Slow Heartbeat (Left Leg),Left Leg,Severe,Severe slow heartbeat localized to the left leg.
SYM00344,Moderate Stiff Joints (Left Leg),Left Leg,Moderate,Moderate stiff joints localized to the left leg.
SYM00345,Moderate Anxiety (Left Leg),Left Leg,Moderate,Moderate anxiety localized to the left leg.
SYM00346,Moderate Sweating (Joints),Joints,Moderate,Moderate sweating localized to the joints.
SYM00347,Moderate Erectile Dysfunction (Skin),Skin,Moderate,Moderate erectile dysfunction localized to the skin.
SYM00348,Mild Vomiting (Chest),Chest,Mild,Mild vomiting localized to the chest.
SYM00349,Mild Bloating (Eyes),Eyes,Mild,Mild bloating localized to the eyes.
SYM00350,Severe Excessive Hunger (Throat),Throat,Severe,Severe excessive hunger localized to the throat.
SYM00351,Moderate Sensitivity To Light (Neck),Neck,Moderate,Moderate sensitivity to light localized to the neck.
SYM00352,Moderate Excessive Hunger (Abdomen),Abdomen,Moderate,Moderate excessive hunger localized to the abdomen.
SYM00353,Mild Dry Mouth (Neck),Neck,Mild,Mild dry mouth localized to the neck.
SYM00354,Moderate Dry Mouth (Throat),Throat,Moderate,Moderate dry mouth localized to the throat.
SYM00355,Mild Blurred Vision (Right Leg),Right Leg,Mild,Mild blurred vision localized to the right leg.
SYM00356,Severe Sensitivity To Light (Ears),Ears,Severe,Severe sensitivity to light localized to the ears.
SYM00357,Moderate Painful Intercourse (Throat),Throat,Moderate,Moderate painful intercourse localized to the throat.
SYM00358,Moderate Cough (Joints),Joints,Moderate,Moderate cough localized to the joints.
SYM00359,Moderate Brittle Nails (Neck),Neck,Moderate,Moderate brittle nails localized to the neck.
SYM00360,Mild Stiff Joints (Whole Body),Whole Body,Mild,Mild stiff joints localized to the whole body.
SYM00361,Severe Sore Throat (Neck),Neck,Severe,Severe sore throat localized to the neck.
SYM00362,Moderate Coughing Blood (Abdomen),Abdomen,Moderate,Moderate coughing blood localized to the abdomen.
SYM00363,Mild Ear Pain (Whole Body),Whole Body,Mild,Mild ear pain localized to the whole body.
SYM00364,Severe Hair Loss (Upper Back),Upper Back,Severe,Severe hair loss localized to the upper back.
SYM00365,Moderate Pelvic Pain (Chest),Chest,Moderate,Moderate pelvic pain localized to the chest.
SYM00366,Severe Loss Of Balance (Left Arm),Left Arm,Severe,Severe loss of balance localized to the left arm.
SYM00367,Moderate Headache (Ears),Ears,Moderate,Moderate headache localized to the ears.
SYM00368,Severe Fever (Throat),Throat,Severe,Severe fever localized to the throat.
SYM00369,Moderate Tingling (Skin),Skin,Moderate,Moderate tingling localized to the skin.
SYM00370,Mild Sore Throat (Eyes),Eyes,Mild,Mild sore throat localized to the eyes.
SYM00371,Mild Insomnia (Upper Back),Upper Back,Mild,Mild insomnia localized to the upper back.
SYM00372,Mild Skin Discoloration (Joints),Joints,Mild,Mild skin discoloration localized to the joints.
SYM00373,Severe Excessive Sleepiness (Head),Head,Severe,Severe excessive sleepiness localized to the head.
SYM00374,Moderate Gas (Skin),Skin,Moderate,Moderate gas localized to the skin.
SYM00375,Moderate Fainting (Whole Body),Whole Body,Moderate,Moderate fainting localized to the whole body.
SYM00376,Severe Irritability (Head),Head,Severe,Severe irritability localized to the head.
SYM00377,Severe Tingling (Lower Back),Lower Back,Severe,Severe tingling localized to the lower back.
SYM00378,Mild Sensitivity To Light (Right Arm),Right Arm,Mild,Mild sensitivity to light localized to the right arm.
SYM00379,Moderate Hoarseness (Right Arm),Right Arm,Moderate,Moderate hoarseness localized to the right arm.
SYM00380,Mild Shortness of Breath (Lower Back),Lower Back,Mild,Mild shortness of breath localized to the lower back.
SYM00381,Mild Muscle Ache (Abdomen),Abdomen,Mild,Mild muscle ache localized to the abdomen.
SYM00382,Severe Sneezing (Upper Back),Upper Back,Severe,Severe sneezing localized to the upper back.
SYM00383,Severe Chest Pain (Eyes),Eyes,Severe,Severe chest pain localized to the eyes.
SYM00384,Severe Abdominal Pain (Lower Back),Lower Back,Severe,Severe abdominal pain localized to the lower back.
SYM00385,Mild Fever (Throat),Throat,Mild,Mild fever localized to the throat.
SYM00386,Mild Tremor (Upper Back),Upper Back,Mild,Mild tremor localized to the upper back.
SYM00387,Severe Dry Mouth (Left Arm),Left Arm,Severe,Severe dry mouth localized to the left arm.
SYM00388,Mild Watery Eyes (Chest),Chest,Mild,Mild watery eyes localized to the chest.
SYM00389,Moderate Insomnia (Joints),Joints,Moderate,Moderate insomnia localized to the joints.
SYM00390,Moderate Dizziness (Left Leg),Left Leg,Moderate,Moderate dizziness localized to the left leg.
SYM00391,Moderate Slow Wound Healing (Chest),Chest,Moderate,Moderate slow wound healing localized to the chest.
SYM00392,Severe Weight Gain (Ears),Ears,Severe,Severe weight gain localized to the ears.
SYM00393,Severe Chest Tightness (Skin),Skin,Severe,Severe chest tightness localized to the skin.
SYM00394,Moderate Dizziness (Lower Back),Lower Back,Moderate,Moderate dizziness localized to the lower back.
SYM00395,Moderate Skin Discoloration (Neck),Neck,Moderate,Moderate skin discoloration localized to the neck.
SYM00396,Severe Difficulty Swallowing (Left Arm),Left Arm,Severe,Severe difficulty swallowing localized to the left arm.
SYM00397,Severe Itching (Joints),Joints,Severe,Severe itching localized to the joints.
SYM00398,Severe Neck Stiffness (Head),Head,Severe,Severe neck stiffness localized to the head.
SYM00399,Mild Numbness (Right Leg),Right Leg,Mild,Mild numbness localized to the right leg.
SYM00400,Severe Fever (Whole Body),Whole Body,Severe,Severe fever localized to the whole body.
SYM00401,Mild Testicular Pain (Joints),Joints,Mild,Mild testicular pain localized to the joints.
SYM00402,Mild Leg Cramps (Throat),Throat,Mild,Mild leg cramps localized to the throat.
SYM00403,Severe Neck Stiffness (Ears),Ears,Severe,Severe neck stiffness localized to the ears.
SYM00404,Moderate Hair Loss (Right Leg),Right Leg,Moderate,Moderate hair loss localized to the right leg.
SYM00405,Moderate Anxiety (Left Arm),Left Arm,Moderate,Moderate anxiety localized to the left arm.
SYM00406,Severe Loss of Appetite (Throat),Throat,Severe,Severe loss of appetite localized to the throat.
SYM00407,Moderate Sweating (Upper Back),Upper Back,Moderate,Moderate sweating localized to the upper back.
SYM00408,Severe Nausea (Whole Body),Whole Body,Severe,Severe nausea localized to the whole body.
SYM00409,Mild Hearing Loss (Neck),Neck,Mild,Mild hearing loss localized to the neck.
SYM00410,Severe Toothache (Chest),Chest,Severe,Severe toothache localized to the chest.
SYM00411,Severe Irregular Periods (Head),Head,Severe,Severe irregular periods localized to the head.
SYM00412,Mild Diarrhea (Lower Back),Lower Back,Mild,Mild diarrhea localized to the lower back.
SYM00413,Moderate Erectile Dysfunction (Head),Head,Moderate,Moderate erectile dysfunction localized to the head.
SYM00414,Severe Back Pain (Lower Back),Lower Back,Severe,Severe back pain localized to the lower back.
SYM00415,Moderate Chest Pain (Head),Head,Moderate,Moderate chest pain localized to the head.
SYM00416,Mild Sweating (Left Leg),Left Leg,Mild,Mild sweating localized to the left leg.
SYM00417,Severe Watery Eyes (Lower Back),Lower Back,Severe,Severe watery eyes localized to the lower back.
SYM00418,Mild Nasal Congestion (Neck),Neck,Mild,Mild nasal congestion localized to the neck.
SYM00419,Mild Slow Wound Healing (Chest),Chest,Mild,Mild slow wound healing localized to the chest.
SYM00420,Severe Joint Pain (Right Arm),Right Arm,Severe,Severe joint pain localized to the right arm.
SYM00421,Moderate Blurred Vision (Skin),Skin,Moderate,Moderate blurred vision localized to the skin.
SYM00422,Severe Nasal Congestion (Lower Back),Lower Back,Severe,Severe nasal congestion localized to the lower back.
SYM00423,Moderate Coughing Blood (Upper Back),Upper Back,Moderate,Moderate coughing blood localized to the upper back.
SYM00424,Severe Swollen Ankles (Lower Back),Lower Back,Severe,Severe swollen ankles localized to the lower back.
SYM00425,Severe Vomiting (Joints),Joints,Severe,Severe vomiting localized to the joints.
SYM00426,Severe Seizure (Head),Head,Severe,Severe seizure localized to the head.
SYM00427,Moderate Red Eyes (Upper Back),Upper Back,Moderate,Moderate red eyes localized to the upper back.
SYM00428,Moderate High Blood Pressure (Head),Head,Moderate,Moderate high blood pressure localized to the head.
SYM00429,Moderate Loss of Appetite (Lower Back),Lower Back,Moderate,Moderate loss of appetite localized to the lower back.
SYM00430,Mild Depression (Head),Head,Mild,Mild depression localized to the head.
SYM00431,Severe Shortness of Breath (Chest),Chest,Severe,Severe shortness of breath localized to the chest.
SYM00432,Severe Cough (Abdomen),Abdomen,Severe,Severe cough localized to the abdomen.
SYM00433,Moderate Vomiting (Joints),Joints,Moderate,Moderate vomiting localized to the joints.
SYM00434,Severe Heartburn (Left Leg),Left Leg,Severe,Severe heartburn localized to the left leg.
SYM00435,Moderate Difficulty Walking (Right Leg),Right Leg,Moderate,Moderate difficulty walking localized to the right leg.
SYM00436,Mild Pelvic Pain (Right Leg),Right Leg,Mild,Mild pelvic pain localized to the right leg.
SYM00437,Mild Bad Breath (Left Leg),Left Leg,Mild,Mild bad breath localized to the left leg.
SYM00438,Mild Leg Cramps (Neck),Neck,Mild,Mild leg cramps localized to the neck.
SYM00439,Moderate Cold Hands And Feet (Joints),Joints,Moderate,Moderate cold hands and feet localized to the joints.
SYM00440,Mild Chest Pain (Upper Back),Upper Back,Mild,Mild chest pain localized to the upper back.
SYM00441,Moderate Neck Stiffness (Upper Back),Upper Back,Moderate,Moderate neck stiffness localized to the upper back.
SYM00442,Mild Blood in Stool (Whole Body),Whole Body,Mild,Mild blood in stool localized to the whole body.
SYM00443,Mild Low Blood Pressure (Whole Body),Whole Body,Mild,Mild low blood pressure localized to the whole body.
SYM00444,Moderate Frequent Infections (Lower Back),Lower Back,Moderate,Moderate frequent infections localized to the lower back.
SYM00445,Severe Muscle Weakness (Head),Head,Severe,Severe muscle weakness localized to the head.
SYM00446,Mild Nausea (Eyes),Eyes,Mild,Mild nausea localized to the eyes.
SYM00447,Severe Dry Mouth (Throat),Throat,Severe,Severe dry mouth localized to the throat.
SYM00448,Moderate Brittle Nails (Lower Back),Lower Back,Moderate,Moderate brittle nails localized to the lower back.
SYM00449,Mild Dry Mouth (Skin),Skin,Mild,Mild dry mouth localized to the skin.
SYM00450,Moderate Erectile Dysfunction (Whole Body),Whole Body,Moderate,Moderate erectile dysfunction localized to the whole body.
SYM00451,Severe Dry Mouth (Right Arm),Right Arm,Severe,Severe dry mouth localized to the right arm.
SYM00452,Severe Headache (Chest),Chest,Severe,Severe headache localized to the chest.
SYM00453,Mild Rapid Heartbeat (Ears),Ears,Mild,Mild rapid heartbeat localized to the ears.
SYM00454,Severe Excessive Sleepiness (Left Leg),Left Leg,Severe,Severe excessive sleepiness localized to the left leg.
SYM00455,Severe Palpitations (Chest),Chest,Severe,Severe palpitations localized to the chest.
SYM00456,Mild Blurred Vision (Throat),Throat,Mild,Mild blurred vision localized to the throat.
SYM00457,Mild Sweating (Lower Back),Lower Back,Mild,Mild sweating localized to the lower back.
SYM00458,Mild Increased Thirst (Neck),Neck,Mild,Mild increased thirst localized to the neck.
SYM00459,Mild Anxiety (Head),Head,Mild,Mild anxiety localized to the head.
SYM00460,Mild Bleeding Gums (Ears),Ears,Mild,Mild bleeding gums localized to the ears.
SYM00461,Mild Ear Pain (Lower Back),Lower Back,Mild,Mild ear pain localized to the lower back.
SYM00462,Mild Hoarseness (Upper Back),Upper Back,Mild,Mild hoarseness localized to the upper back.
SYM00463,Mild Bleeding Gums (Right Leg),Right Leg,Mild,Mild bleeding gums localized to the right leg.
SYM00464,Moderate Leg Cramps (Ears),Ears,Moderate,Moderate leg cramps localized to the ears.
SYM00465,Moderate Gas (Lower Back),Lower Back,Moderate,Moderate gas localized to the lower back.
SYM00466,Moderate Ear Pain (Whole Body),Whole Body,Moderate,Moderate ear pain localized to the whole body.
SYM00467,Mild Joint Pain (Head),Head,Mild,Mild joint pain localized to the head.
SYM00468,Severe Increased Thirst (Skin),Skin,Severe,Severe increased thirst localized to the skin.
SYM00469,Mild Excessive Thirst (Chest),Chest,Mild,Mild excessive thirst localized to the chest.
SYM00470,Moderate Nausea (Chest),Chest,Moderate,Moderate nausea localized to the chest.
SYM00471,Severe Memory Loss (Lower Back),Lower Back,Severe,Severe memory loss localized to the lower back.
SYM00472,Mild Memory Loss (Lower Back),Lower Back,Mild,Mild memory loss localized to the lower back.
SYM00473,Moderate Coughing Blood (Skin),Skin,Moderate,Moderate coughing blood localized to the skin.
SYM00474,Mild Ear Pain (Chest),Chest,Mild,Mild ear pain localized to the chest.
SYM00475,Mild Vomiting (Head),Head,Mild,Mild vomiting localized to the head.
SYM00476,Mild Red Eyes (Eyes),Eyes,Mild,Mild red eyes localized to the eyes.
SYM00477,Severe Double Vision (Eyes),Eyes,Severe,Severe double vision localized to the eyes.
SYM00478,Mild Cough (Throat),Throat,Mild,Mild cough localized to the throat.
SYM00479,Severe Erectile Dysfunction (Eyes),Eyes,Severe,Severe erectile dysfunction localized to the eyes.
SYM00480,Mild Irritability (Skin),Skin,Mild,Mild irritability localized to the skin.
SYM00481,Moderate Slow Wound Healing (Lower Back),Lower Back,Moderate,Moderate slow wound healing localized to the lower back.
SYM00482,Moderate Bruising Easily (Joints),Joints,Moderate,Moderate bruising easily localized to the joints.
SYM00483,Severe Nausea (Left Arm),Left Arm,Severe,Severe nausea localized to the left arm.
SYM00484,Severe Constipation (Left Leg),Left Leg,Severe,Severe constipation localized to the left leg.
SYM00485,Mild Fainting (Right Leg),Right Leg,Mild,Mild fainting localized to the right leg.
SYM00486,Mild Wheezing (Upper Back),Upper Back,Mild,Mild wheezing localized to the upper back.
SYM00487,Mild Uncontrolled Movements (Joints),Joints,Mild,Mild uncontrolled movements localized to the joints.
SYM00488,Moderate Sweating (Whole Body),Whole Body,Moderate,Moderate sweating localized to the whole body.
SYM00489,Moderate Double Vision (Eyes),Eyes,Moderate,Moderate double vision localized to the eyes.
SYM00490,Moderate Fever (Lower Back),Lower Back,Moderate,Moderate fever localized to the lower back.
SYM00491,Moderate Difficulty Breathing (Throat),Throat,Moderate,Moderate difficulty breathing localized to the throat.
SYM00492,Severe Rapid Heartbeat (Whole Body),Whole Body,Severe,Severe rapid heartbeat localized to the whole body.
SYM00493,Severe Irregular Periods (Whole Body),Whole Body,Severe,Severe irregular periods localized to the whole body.
SYM00494,Moderate Low Blood Pressure (Right Arm),Right Arm,Moderate,Moderate low blood pressure localized to the right arm.
SYM00495,Mild Sneezing (Head),Head,Mild,Mild sneezing localized to the head.
SYM00496,Severe Excessive Thirst (Lower Back),Lower Back,Severe,Severe excessive thirst localized to the lower back.
SYM00497,Moderate Anxiety (Joints),Joints,Moderate,Moderate anxiety localized to the joints.
SYM00498,Moderate Tingling (Left Leg),Left Leg,Moderate,Moderate tingling localized to the left leg.
SYM00499,Severe Weight Gain (Abdomen),Abdomen,Severe,Severe weight gain localized to the abdomen.
SYM00500,Moderate Dry Skin (Throat),Throat,Moderate,Moderate dry skin localized to the throat.
SYM00501,Severe Back Pain (Chest),Chest,Severe,Severe back pain localized to the chest.
SYM00502,Mild Red Eyes (Whole Body),Whole Body,Mild,Mild red eyes localized to the whole body.
SYM00503,Moderate Rash (Lower Back),Lower Back,Moderate,Moderate rash localized to the lower back.
SYM00504,Moderate Chest Pain (Neck),Neck,Moderate,Moderate chest pain localized to the neck.
SYM00505,Severe Low Blood Pressure (Head),Head,Severe,Severe low blood pressure localized to the head.
SYM00506,Moderate Irritability (Head),Head,Moderate,Moderate irritability localized to the head.
SYM00507,Moderate Fainting (Chest),Chest,Moderate,Moderate fainting localized to the chest.
SYM00508,Moderate Abdominal Pain (Upper Back),Upper Back,Moderate,Moderate abdominal pain localized to the upper back.
SYM00509,Severe Low Blood Pressure (Right Arm),Right Arm,Severe,Severe low blood pressure localized to the right arm.
SYM00510,Mild Irregular Periods (Joints),Joints,Mild,Mild irregular periods localized to the joints.
SYM00511,Mild Persistent Cough (Left Leg),Left Leg,Mild,Mild persistent cough localized to the left leg.
SYM00512,Mild Hoarseness (Chest),Chest,Mild,Mild hoarseness localized to the chest.
SYM00513,Severe Seizure (Upper Back),Upper Back,Severe,Severe seizure localized to the upper back.
SYM00514,Moderate Nausea (Skin),Skin,Moderate,Moderate nausea localized to the skin.
SYM00515,Moderate Toothache (Abdomen),Abdomen,Moderate,Moderate toothache localized to the abdomen.
SYM00516,Severe Hair Loss (Throat),Throat,Severe,Severe hair loss localized to the throat.
SYM00517,Moderate Sensitivity To Light (Chest),Chest,Moderate,Moderate sensitivity to light localized to the chest.
SYM00518,Moderate Leg Cramps (Whole Body),Whole Body,Moderate,Moderate leg cramps localized to the whole body.
SYM00519,Mild Cough (Ears),Ears,Mild,Mild cough localized to the ears.
SYM00520,Mild Headache (Head),Head,Mild,Mild headache localized to the head.
SYM00521,Severe Uncontrolled Movements (Throat),Throat,Severe,Severe uncontrolled movements localized to the throat.
SYM00522,Moderate Loss Of Smell (Left Leg),Left Leg,Moderate,Moderate loss of smell localized to the left leg.
SYM00523,Mild Bruising Easily (Head),Head,Mild,Mild bruising easily localized to the head.
SYM00524,Moderate Sweating (Head),Head,Moderate,Moderate sweating localized to the head.
SYM00525,Severe Swollen Ankles (Skin),Skin,Severe,Severe swollen ankles localized to the skin.
SYM00526,Moderate Dry Skin (Abdomen),Abdomen,Moderate,Moderate dry skin localized to the abdomen.
SYM00527,Mild Frequent Urination (Whole Body),Whole Body,Mild,Mild frequent urination localized to the whole body.
SYM00528,Moderate Blurred Vision (Right Arm),Right Arm,Moderate,Moderate blurred vision localized to the right arm.
SYM00529,Moderate Runny Nose (Neck),Neck,Moderate,Moderate runny nose localized to the neck.
SYM00530,Moderate Watery Eyes (Throat),Throat,Moderate,Moderate watery eyes localized to the throat.
SYM00531,Moderate Increased Thirst (Ears),Ears,Moderate,Moderate increased thirst localized to the ears.
SYM00532,Severe Anxiety (Left Leg),Left Leg,Severe,Severe anxiety localized to the left leg.
SYM00533,Mild Joint Pain (Chest),Chest,Mild,Mild joint pain localized to the chest.
SYM00534,Mild Irritability (Eyes),Eyes,Mild,Mild irritability localized to the eyes.
SYM00535,Mild Difficulty Breathing (Chest),Chest,Mild,Mild difficulty breathing localized to the chest.
SYM00536,Severe Irritability (Skin),Skin,Severe,Severe irritability localized to the skin.
SYM00537,Severe Bruising Easily (Left Arm),Left Arm,Severe,Severe bruising easily localized to the left arm.
SYM00538,Mild Rash (Left Leg),Left Leg,Mild,Mild rash localized to the left leg.
SYM00539,Mild Tingling (Head),Head,Mild,Mild tingling localized to the head.
SYM00540,Severe Persistent Cough (Abdomen),Abdomen,Severe,Severe persistent cough localized to the abdomen.
SYM00541,Severe Bloating (Neck),Neck,Severe,Severe bloating localized to the neck.
SYM00542,Severe Loss Of Taste (Left Leg),Left Leg,Severe,Severe loss of taste localized to the left leg.
SYM00543,Severe Uncontrolled Movements (Right Leg),Right Leg,Severe,Severe uncontrolled movements localized to the right leg.
SYM00544,Moderate Cough (Chest),Chest,Moderate,Moderate cough localized to the chest.
SYM00545,Mild Swollen Ankles (Eyes),Eyes,Mild,Mild swollen ankles localized to the eyes.
SYM00546,Severe Mouth Ulcers (Ears),Ears,Severe,Severe mouth ulcers localized to the ears.
SYM00547,Moderate Back Pain (Upper Back),Upper Back,Moderate,Moderate back pain localized to the upper back.
SYM00548,Severe Loss Of Smell (Left Leg),Left Leg,Severe,Severe loss of smell localized to the left leg.
SYM00549,Moderate Toothache (Joints),Joints,Moderate,Moderate toothache localized to the joints.
SYM00550,Severe Ear Pain (Skin),Skin,Severe,Severe ear pain localized to the skin.
SYM00551,Moderate Difficulty Breathing (Skin),Skin,Moderate,Moderate difficulty breathing localized to the skin.
SYM00552,Severe Shortness of Breath (Throat),Throat,Severe,Severe shortness of breath localized to the throat.
SYM00553,Moderate Frequent Urination (Left Leg),Left Leg,Moderate,Moderate frequent urination localized to the left leg.
SYM00554,Moderate Hearing Loss (Throat),Throat,Moderate,Moderate hearing loss localized to the throat.
SYM00555,Moderate Joint Pain (Skin),Skin,Moderate,Moderate joint pain localized to the skin.
SYM00556,Moderate Headache (Head),Head,Moderate,Moderate headache localized to the head.
SYM00557,Severe Testicular Pain (Left Arm),Left Arm,Severe,Severe testicular pain localized to the left arm.
SYM00558,Moderate Confusion (Right Arm),Right Arm,Moderate,Moderate confusion localized to the right arm.
SYM00559,Moderate Difficulty Swallowing (Whole Body),Whole Body,Moderate,Moderate difficulty swallowing localized to the whole body.
SYM00560,Severe Palpitations (Upper Back),Upper Back,Severe,Severe palpitations localized to the upper back.
SYM00561,Moderate Muscle Ache (Right Leg),Right Leg,Moderate,Moderate muscle ache localized to the right leg.
SYM00562,Severe Difficulty Breathing (Whole Body),Whole Body,Severe,Severe difficulty breathing localized to the whole body.
SYM00563,Mild Brittle Nails (Ears),Ears,Mild,Mild brittle nails localized to the ears.
SYM00564,Mild Constipation (Throat),Throat,Mild,Mild constipation localized to the throat.
SYM00565,Moderate Chest Tightness (Eyes),Eyes,Moderate,Moderate chest tightness localized to the eyes.
SYM00566,Severe Rapid Heartbeat (Ears),Ears,Severe,Severe rapid heartbeat localized to the ears.
SYM00567,Mild Blood in Stool (Chest),Chest,Mild,Mild blood in stool localized to the chest.
SYM00568,Moderate Sore Throat (Chest),Chest,Moderate,Moderate sore throat localized to the chest.
SYM00569,Severe Bloating (Upper Back),Upper Back,Severe,Severe bloating localized to the upper back.
SYM00570,Mild Confusion (Lower Back),Lower Back,Mild,Mild confusion localized to the lower back.
SYM00571,Moderate Rash (Left Leg),Left Leg,Moderate,Moderate rash localized to the left leg.
SYM00572,Moderate Gas (Neck),Neck,Moderate,Moderate gas localized to the neck.
SYM00573,Mild Swollen Lymph Nodes (Joints),Joints,Mild,Mild swollen lymph nodes localized to the joints.
SYM00574,Severe Chest Tightness (Joints),Joints,Severe,Severe chest tightness localized to the joints.
SYM00575,Mild Blurred Vision (Right Arm),Right Arm,Mild,Mild blurred vision localized to the right arm.
SYM00576,Mild Painful Urination (Right Arm),Right Arm,Mild,Mild painful urination localized to the right arm.
SYM00577,Moderate Itching (Throat),Throat,Moderate,Moderate itching localized to the throat.
SYM00578,Moderate Tingling (Whole Body),Whole Body,Moderate,Moderate tingling localized to the whole body.
SYM00579,Mild Blood in Stool (Neck),Neck,Mild,Mild blood in stool localized to the neck.
SYM00580,Moderate Erectile Dysfunction (Neck),Neck,Moderate,Moderate erectile dysfunction localized to the neck.
SYM00581,Severe Excessive Sleepiness (Lower Back),Lower Back,Severe,Severe excessive sleepiness localized to the lower back.
SYM00582,Severe Excessive Sleepiness (Left Arm),Left Arm,Severe,Severe excessive sleepiness localized to the left arm.
SYM00583,Moderate Nausea (Abdomen),Abdomen,Moderate,Moderate nausea localized to the abdomen.
SYM00584,Severe Leg Cramps (Head),Head,Severe,Severe leg cramps localized to the head.
SYM00585,Severe Cough (Ears),Ears,Severe,Severe cough localized to the ears.
SYM00586,Moderate Itching (Abdomen),Abdomen,Moderate,Moderate itching localized to the abdomen.
SYM00587,Severe Watery Eyes (Eyes),Eyes,Severe,Severe watery eyes localized to the eyes.
SYM00588,Moderate Chills (Chest),Chest,Moderate,Moderate chills localized to the chest.
SYM00589,Moderate Red Eyes (Skin),Skin,Moderate,Moderate red eyes localized to the skin.
SYM00590,Moderate Jaundice (Lower Back),Lower Back,Moderate,Moderate jaundice localized to the lower back.
SYM00591,Mild Wheezing (Left Leg),Left Leg,Mild,Mild wheezing localized to the left leg.
SYM00592,Severe Difficulty Walking (Whole Body),Whole Body,Severe,Severe difficulty walking localized to the whole body.
SYM00593,Mild Frequent Urination (Abdomen),Abdomen,Mild,Mild frequent urination localized to the abdomen.
SYM00594,Severe Dizziness (Skin),Skin,Severe,Severe dizziness localized to the skin.
SYM00595,Severe Tingling (Left Arm),Left Arm,Severe,Severe tingling localized to the left arm.
SYM00596,Mild Wheezing (Neck),Neck,Mild,Mild wheezing localized to the neck.
SYM00597,Moderate Blood in Stool (Throat),Throat,Moderate,Moderate blood in stool localized to the throat.
SYM00598,Mild Rapid Breathing (Eyes),Eyes,Mild,Mild rapid breathing localized to the eyes.
SYM00599,Severe Fever (Joints),Joints,Severe,Severe fever localized to the joints.
SYM00600,Severe Hearing Loss (Throat),Throat,Severe,Severe hearing loss localized to the throat.
SYM00601,Mild Rapid Breathing (Right Leg),Right Leg,Mild,Mild rapid breathing localized to the right leg.
SYM00602,Moderate Heartburn (Lower Back),Lower Back,Moderate,Moderate heartburn localized to the lower back.
